Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Main Source
DOMINICA,282.0,3.0,0.0,1.0,1.0,15.0,5.0,0.0,0.0,4.0,7.0,19.0,110.0,80.0,2.0,633.0,40.0,3.0,197.0,189.0,38.0,351.0,33.0,45.0,1066.0,88.0,65.0,3.0,419.0,,,WHOPAHO-ALL-19802024-Y03-00
DOMINICAN REPUBLIC,211.0,72.0,512.0,2873.0,1059.0,3404.0,3588.0,3118.0,5911.0,2340.0,2776.0,5913.0,9403.0,4150.0,7297.0,11060.0,2232.0,9549.0,16503.0,6274.0,17048.0,6645.0,1367.0,1602.0,20323.0,3964.0,3746.0,10784.0,28737.0,10251.0,,WHOPAHO-ALL-19802024-Y03-00
ECUADOR,6607.0,5189.0,3871.0,4606.0,2901.0,22934.0,10864.0,5675.0,9903.0,6101.0,11797.0,5871.0,10253.0,1879.0,4400.0,17516.0,7567.0,19367.0,11662.0,15531.0,42473.0,14159.0,11429.0,3140.0,8480.0,19950.0,20829.0,16017.0,28313.0,61329.0,,WHOPAHO-ALL-19802024-Y03-00
EL SALVADOR,9529.0,789.0,423.0,1686.0,556.0,2837.0,1039.0,17902.0,7298.0,13190.0,15083.0,21843.0,12376.0,5774.0,14928.0,22221.0,20623.0,43163.0,28877.0,53460.0,50169.0,8789.0,4402.0,8448.0,27490.0,5450.0,5752.0,16542.0,5863.0,8552.0,,WHOPAHO-ALL-19802024-Y03-00
FIJI,27.0,2.0,0.0,24780.0,430.0,14.0,3.0,0.0,16.0,2.0,0.0,25.0,100.0,1895.0,374.0,8.0,88.0,1777.0,355.0,5244.0,1244.0,800.0,3364.0,5190.0,2843.0,1817.0,929.0,8550.0,6357.0,6238.0,,TYCHO-ALL-19242017-SV_DF01-00
FRENCH GUIANA,895.0,358.0,848.0,533.0,88.0,182.0,2830.0,280.0,2178.0,3147.0,4365.0,15904.0,661.0,460.0,11328.0,10488.0,663.0,662.0,16263.0,1180.0,2603.0,522.0,625.0,240.0,275.0,8759.0,1756.0,,2684.0,16141.0,,WHOPAHO-ALL-19802024-Y03-00
GRENADA,73.0,6.0,22.0,4.0,85.0,27.0,12.0,81.0,17.0,7.0,0.0,22.0,0.0,6.0,23.0,253.0,125.0,94.0,228.0,79.0,25.0,172.0,244.0,463.0,106.0,253.0,230.0,293.0,642.0,798.0,,WHOPAHO-ALL-19802024-Y03-00
GUADELOUPE,149.0,186.0,0.0,0.0,41.0,59.0,0.0,93.0,495.0,0.0,3358.0,2942.0,3162.0,277.0,2233.0,40737.0,101.0,1088.0,12706.0,1397.0,201.0,177.0,540.0,438.0,3234.0,19407.0,540.0,790.0,12026.0,11025.0,,WHOPAHO-ALL-19802024-Y03-00
GUATEMALA,3979.0,3660.0,5379.0,4653.0,3615.0,8964.0,4512.0,7552.0,6728.0,6313.0,6309.0,2422.0,5865.0,3227.0,10200.0,16842.0,2553.0,9331.0,11703.0,19863.0,18685.0,9070.0,4308.0,7592.0,50886.0,6075.0,2959.0,8553.0,73975.0,188585.0,,WHOPAHO-ALL-19802024-Y03-00
GUYANA,0.0,0.0,0.0,42.0,0.0,19.0,60.0,200.0,33.0,47.0,178.0,118.0,200.0,324.0,993.0,1467.0,1093.0,2189.0,1120.0,863.0,388.0,303.0,4.0,286.0,230.0,1724.0,4380.0,11811.0,28376.0,46306.0,,WHOPAHO-ALL-19802024-Y03-00
HONDURAS,27560.0,5047.0,11861.0,22200.0,17766.0,13328.0,8646.0,31406.0,16101.0,17626.0,17048.0,7800.0,29328.0,16460.0,14528.0,63546.0,7412.0,15554.0,39201.0,42753.0,44834.0,22961.0,5258.0,8187.0,132905.0,25180.0,19753.0,25337.0,34761.0,177209.0,,WHOPAHO-ALL-19802024-Y03-00
HONG KONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,48.0,31.0,31.0,31.0,58.0,42.0,43.0,83.0,30.0,0.0,103.0,112.0,114.0,124.0,102.0,163.0,198.0,1.0,0.0,0.0,0.0,5.0,0.0,MOH-HKG-19942025-Y01-00
INDIA,7847.0,16517.0,1177.0,707.0,944.0,650.0,3306.0,1926.0,12754.0,4153.0,11985.0,12317.0,5530.0,12540.0,15535.0,28292.0,18860.0,37070.0,55153.0,28933.0,99913.0,129166.0,188401.0,101192.0,157315.0,44585.0,193245.0,233251.0,289235.0,233519.0,4700.0,WHOSEARO-ALL-19852009-Y01-00
INDONESIA,35102.0,44650.0,30730.0,72133.0,21134.0,33443.0,45904.0,40377.0,51934.0,79462.0,95279.0,114656.0,158115.0,155607.0,158912.0,156086.0,65725.0,90245.0,112511.0,100347.0,129689.0,204172.0,68407.0,65600.0,138131.0,108303.0,73518.0,143266.0,114720.0,210644.0,,WHOSEARO-ALL-19852009-Y01-00
JAMAICA,1776.0,46.0,16.0,1509.0,24.0,25.0,39.0,90.0,52.0,9.0,46.0,79.0,1448.0,357.0,70.0,2887.0,404.0,4670.0,861.0,880.0,88.0,2297.0,219.0,1155.0,7555.0,898.0,96.0,100.0,8213.0,2034.0,,WHOPAHO-ALL-19802024-Y03-00
LAO PEOPLE'S DEMOCRATIC REPUBLIC,7781.0,8197.0,3411.0,7671.0,2507.0,1377.0,3968.0,9176.0,17690.0,3972.0,6152.0,7114.0,5391.0,4487.0,7804.0,22929.0,3816.0,10146.0,44250.0,1922.0,1959.0,5636.0,11067.0,6446.0,39091.0,7692.0,1340.0,29064.0,32084.0,19486.0,556.0,TYCHO-ALL-19242017-SV_DF01-00
